Episode,Score
1,-2237.16
2,-2003.2
3,-1767.49
4,-1533.41
5,-1307.58
6,-1078.84
7,-848.43
8,-612.7
9,-376.34
10,-129.49
11,140.27
12,388.93
13,576.88
14,585.04
15,593.37
16,601.5
17,609.2
18,616.94
19,616.95
20,624.5
21,633.36
22,640.58
23,648.34
24,655.8
25,663.57
26,663.57
27,663.57
28,663.57
29,663.57
30,663.57
31,663.57
32,663.57
33,663.57
34,663.57
35,663.57
36,663.57
37,663.57
38,663.57
39,663.57
40,663.57
41,663.57
42,663.57
43,663.57
44,663.57
45,663.57
46,663.57
47,663.57
48,663.57
49,663.57
50,702.85
51,741.27
52,774.44
53,809.47
54,844.36
55,878.02
56,910.17
57,945.41
58,978.77
59,1014.83
60,1051.9
61,1090.51
62,1090.5
63,1090.5
64,1090.5
65,1090.5
66,1090.5
67,1090.5
68,1090.5
69,1090.5
70,1090.5
71,1090.5
72,1090.5
73,1090.5
74,1090.5
75,1090.5
76,1090.5
77,1090.5
78,1090.5
79,1090.5
80,1090.5
81,1090.5
82,1090.5
83,1090.5
84,1090.5
85,1090.5
86,1090.5
87,1090.5
88,1090.5
89,1090.5
90,1090.5
91,1090.5
92,1090.5
93,1090.5
94,1090.5
95,1090.5
96,1090.5
97,1090.5
98,1090.5
99,1090.5
100,1090.5
101,1090.5
102,1090.5
103,1090.5
104,1090.5
105,1090.5
106,1090.5
107,1090.5
108,1090.5
109,1090.5
110,1090.5
111,304301.7
112,304301.46
113,304301.46
114,304301.46
115,304301.46
116,304301.46
117,304301.46
118,304301.46
119,304301.46
120,304301.46
121,304301.46
122,304301.46
123,304301.46
124,304301.46
125,304301.46
126,304301.46
127,304301.46
128,304301.46
129,304301.46
130,304301.46
131,304301.46
132,304301.46
133,304301.46
134,304301.46
135,304301.46
136,304301.46
137,304301.46
138,304301.46
139,304301.46
140,304301.46
141,304301.46
142,304301.46
143,304301.46
144,304301.46
145,304301.46
146,304301.46
147,304301.46
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,62.6
163,157.61
164,220.19
165,220.22
166,258.54
167,321.13
168,321.16
169,321.16
170,321.16
171,321.16
172,246.48
173,246.47
174,246.47
175,246.47
176,246.47
177,246.47
178,246.47
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1.92
188,1.92
189,1.92
190,1.92
191,1.92
192,1.92
193,1.92
194,10.28
195,10.25
196,10.25
197,104.55
198,112.88
199,112.85
200,112.85
201,112.85
202,112.85
203,73.34
204,73.33
205,393.86
206,681.97
207,949.88
208,941.83
209,993.1
210,1236.42
211,1236.44
212,1236.44
213,1236.44
214,1236.44
215,1236.44
216,1236.44
217,1236.44
218,1236.44
219,1236.44
220,1236.44
221,1350.98
222,1350.98
223,1350.98
224,1350.98
225,1350.98
226,1350.98
227,1350.98
228,1350.98
229,1350.98
230,1350.98
231,1350.98
232,1350.98
233,1350.98
234,1350.98
235,1350.98
236,1350.98
237,1350.98
238,1350.98
239,1350.98
240,1350.98
241,1350.98
242,1350.98
243,1350.98
244,1350.98
245,1350.98
246,1350.98
247,1350.98
248,1350.98
249,1350.98
250,1350.98
251,1350.98
252,1350.98
253,1350.98
254,1350.98
255,1350.98
256,1350.98
257,1350.98
258,1350.98
259,1350.98
260,1350.98
261,1350.98
262,1350.98
263,1350.98
264,1350.98
265,1350.98
266,1350.98
267,1350.98
268,1350.98
269,1350.98
270,1350.98
271,1350.98
272,1350.98
273,1350.98
274,1350.98
275,1350.98
276,1350.98
277,1350.98
278,1350.98
279,1350.98
280,1350.98
281,1350.98
282,1350.98
283,1350.98
284,1350.98
285,1350.98
286,1350.98
287,1350.98
288,1350.98
289,1401.5
290,1401.14
291,1401.14
292,1401.14
293,1401.14
294,1401.14
295,1401.14
296,1401.14
297,1401.14
298,1401.14
299,1401.14
300,1401.14
301,1401.14
302,1401.14
303,1401.14
304,1401.14
305,1401.14
306,1401.14
307,1401.14
308,1401.14
309,1401.14
310,1401.14
311,1401.14
312,1401.14
313,1401.14
314,1401.14
315,1401.14
316,1401.14
317,1401.14
318,1401.14
319,1401.14
320,1401.14
321,1401.14
322,1401.14
323,1401.14
324,1401.14
325,1401.14
326,1401.14
327,1401.14
328,1401.14
329,1401.14
330,1401.14
331,1401.14
332,1401.14
333,1401.14
334,1401.14
335,1401.14
336,1401.14
337,1401.14
338,1401.14
339,1401.14
340,1401.14
341,1401.14
342,1401.14
343,1401.14
344,1401.14
345,1401.14
346,1401.14
347,1401.14
348,1401.14
349,1401.14
350,1401.14
351,1401.14
352,1401.14
353,1401.14
354,1401.14
355,0
356,0
357,-830.16
358,116.45
359,190.45
360,-830.4
361,297.88
362,297.9
363,297.9
364,297.9
365,323.46
366,332.54
367,358.41
368,358.43
369,358.43
370,468.29
371,604.76
372,741.37
373,880.64
374,1022.78
375,1342.77
376,1484.97
377,1485
378,1627.13
379,1627.08
380,1769.07
381,1769.06
382,1769.06
383,1769.06
384,1769.06
385,1769.06
386,1769.06
387,1769.06
388,1769.06
389,1769.06
390,1769.06
391,1769.06
392,1769.06
393,1769.06
394,1769.06
395,1769.06
396,1769.06
397,1769.06
398,1769.06
399,1769.06
400,1769.06
401,1769.06
402,1769.06
403,1769.06
404,1769.06
405,1769.06
406,1769.06
407,1769.06
408,1769.06
409,1769.06
410,1769.06
411,1769.06
412,1769.06
413,1769.06
414,1769.06
415,1769.06
416,1769.06
417,1769.06
418,1769.06
419,1769.06
420,1769.06
421,1769.06
422,1769.06
423,1769.06
424,1769.06
425,1769.06
426,1769.06
427,1769.06
428,1769.06
429,1769.06
430,1769.06
431,1769.06
432,1769.06
433,1769.06
434,1769.06
435,1769.06
436,1769.06
437,1769.06
438,1769.06
439,1769.06
440,1769.06
441,1769.06
442,1769.06
443,1769.06
444,1769.06
445,1769.06
446,1769.06
447,1769.06
448,1769.06
449,1769.06
450,1769.06
451,1769.06
452,1769.06
453,1769.06
454,1769.06
